"dist","age","weight","ftworker","uid"
5.75376009502595,22,55.7385295687724,1,20001
5.65376076317518,32,98.8996312929147,1,20002
7.88325227927695,24,67.6643797782144,1,20003
5.29482160768188,38,72.5557782001129,1,20004
11.1096774505047,37,106.127045177899,1,20005
13.9589874585073,48,90.2846994254494,1,20006
10.9900098755924,40,71.0342682037224,1,20007
4.05771537830762,40,107.0046739731,0,20008
2.53332879075595,32,69.8352695359829,0,20009
16.6452349290117,41,122.258159157561,1,20010
1.18423764087213,17,73.8020364500795,0,20011
4.17317878549189,38,89.3333546746096,0,20012
13.7637452417452,28,75.0616440549291,1,20013
7.86641777272867,43,100.979290909812,0,20014
6.58625407139499,29,89.4429363463734,1,20015
9.71594835913709,41,93.0686746567544,1,20016
4.5310510241565,32,89.1882095692693,0,20017
2.21811727822571,16,100.010727197035,0,20018
3.4514762341516,25,97.8451983235171,1,20019
8.20476233773273,30,94.8492848533741,1,20020
3.3585853512397,25,87.3237853385502,1,20021
5.02785250368025,25,78.4960563490643,1,20022
13.4580680094872,26,89.677861250784,1,20023
3.3695960253306,17,47.8846324776713,0,20024
4.55017520668947,37,77.3250775531975,0,20025
14.7356150467313,52,33.7067486954285,1,20026
9.68548817408646,44,76.4601529686785,1,20027
3.23564296753992,45,110.691508493245,0,20028
5.58871926895877,47,87.5616403754541,0,20029
2.01837050703285,31,94.8242826228949,0,20030
4.00078675729681,39,87.187787522875,0,20031
7.70303645890837,42,97.9078357145661,1,20032
6.69607618427856,36,111.657581290236,1,20033
6.35966384334937,39,74.5806771294667,1,20034
3.75909166541628,36,108.414063011576,0,20035
3.00581998614004,38,94.2186273175717,0,20036
3.4871250801821,39,83.0644190930232,0,20037
4.95978331858416,34,49.9681514934939,0,20038
5.19502995366748,40,95.709788948887,0,20039
7.26522325372408,30,65.2616345823476,1,20040
5.60836980599345,36,97.192690245718,0,20041
6.77653239379435,44,85.7216315951724,1,20042
8.61386883818501,45,79.4537884315292,1,20043
2.73473313770757,19,140.924444584782,1,20044
6.08455342940858,32,68.8683567735909,1,20045
8.73887425938014,47,90.3066047655797,0,20046
8.28734725857083,44,65.5219542296027,1,20047
4.40016353735233,24,107.342504742567,1,20048
4.4696005916426,33,102.165221430254,1,20049
9.94608020199118,44,102.831422662877,1,20050
8.55619731948699,37,92.2145765895179,1,20051
4.64664244062914,34,80.1987755306131,0,20052
18.3785846560059,47,119.715065376055,1,20053
0.988719411153703,20,134.124182204665,0,20054
